item_id;definition;type;category
item_1;lalk<b><u>i</u></b>, piłk<b><u>i</u></b>, cioc<b><u>i</u></b>;noun_form;
item_2;lalc<b><u>e</u></b>, piłc<b><u>e</u></b>, mami<b><u>e</u></b>;noun_form;
item_3;lalk<b><u>ę</u></b>, piłk<b><u>ę</u></b>, cioci<b><u>ę</u></b>;noun_form; 
item_4;lalk<b><u>ą</u></b>, piłk<b><u>ą</u></b>, mam<b><u>ą</u></b>;noun_form;
item_4a;cioc<u><b>i</u></b>, babc<u><b>i</u></b>, stacj<u><b>i</u></b>;noun_form;
item_5;ps<b><u>a</u></b>, jajk<b><u>a</u></b>, kubk<b><u>a</u></b>;noun_form;
item_5a;ps<b><u>u</u></b>, aut<b><u>u</u></b>, jajk<b><u>u</u></b>;noun_form;
item_6;kotk<b><u>owi</u></b>, klock<b><u>owi</u></b>, rowerk<b><u>owi</u></b>;noun_form;
item_7;ps<b><u>em</u></b>, aut<b><u>em</u></b>, rowerki<b><u>em</u></b>;noun_form;
item_8;kotk<b><u>u</u></b>, dom<b><u>u</u></b>, rowerk<b><u>u</u></b>;noun_form;
item_9;ps<b><u>ie</u></b>, auc<b><u>ie</u></b>, banan<b><u>ie</u></b>;noun_form;
item_10;Gdy chcemy powiedzieć, że kogoś lub czegoś nie ma, mówimy „Nie ma... (np. <u>mamy/pieska/auta</u>)”. Czy twoje dziecko tak mówi?;noun_context;
item_11;Gdy chcemy powiedzieć, o tym dokąd idziemy, mówimy „Idziemy do... (np. <u>babci/domku/przedszkola</u>)” Czy twoje dziecko tak mówi?;noun_context;
item_12;Gdy chcemy powiedzieć, o tym czego się boimy, mówimy „Boję się... (np. <u>potworów/osy/pająka</u>)”. Czy twoje dziecko tak mówi?;noun_context;
item_13;Gdy chcemy powiedzieć o dawaniu komuś zabawki, mówimy „Dam zabawkę... (np. <u>dziadkowi/mamusi/psu</u>)”. Czy twoje dziecko tak mówi?;noun_context;
item_14;Gdy chcemy powiedzieć, o tym co chcemy zjeść, mówimy „Chcę... (np. <u>kanapkę/klocki/jajko</u>)”. Czy twoje dziecko tak mówi?;noun_context;
item_15;Gdy chcemy powiedzieć o myciu czegoś, mówimy „Myję... (np. <u>buzię/ząbki/ręce</u>)”. Czy twoje dziecko tak mówi?;noun_context;
item_17;Gdy chcemy powiedzieć o tym, czym jedziemy, mówimy „Jedziemy... (np. <u>autem/karocą/autobusem</u>)”. Czy twoje dziecko tak mówi?;noun_context;
item_18;Gdy chcemy powiedzieć o tym, czym się bawimy, mówimy „Bawię się... (np. <u>klockami/lalką/autem</u>)”. Czy twoje dziecko tak mówi?;noun_context;
item_19;Gdy chcemy powiedzieć, o tym, gdzie ktoś jest, mówimy „[Ktoś] jest w... (np. <u>w domku/w pracy/w sklepie</u>)”. Czy twoje dziecko tak mówi?;noun_context;
item_20;Gdy chcemy powiedzieć, o czym jest bajka, mówimy „Bajka jest o... (np.  <u>autach/księżniczce/piesku</u>)”. Czy twoje dziecko tak mówi?;noun_context;
item_21;Czy Twoje dziecko opowiada o wydarzeniach z przeszłości oraz o rzeczach i osobach, które pamięta? Np. jeśli w zeszłym tygodniu byliście z rodziną nad jeziorem, może później mówi „rybki”, „wujek”, „pływa”?;deixis;
item_22;Czy Twoje dziecko mówi o tym, co będzie się działo w przyszłości, np. mówi „auto”, zanim wyruszycie w podróż, lub „babcia”, kiedy babcia ma Was odwiedzić?;deixis;
item_23;Czy Twoje dziecko <u>rozumie</u>, gdy rozmawiacie o czymś, co jest poza zasięgiem wzroku, np. pytacie „Gdzie jest kubek”, a ono idzie do kuchni i przynosi kubek?;deixis;
item_24;Czy Twoje dziecko <u>mówi</u> o czymś lub kimś, co/kto jest poza zasięgiem wzroku, np. o zgubionej zabawce lub o osobie, która jest nieobecna?;deixis;
item_25;Czy Twoje dziecko pokazuje na przedmiot należący do danej osoby i przypisuje tę rzecz osobie, np. pokazuje na buty taty i mówi „tata”?;deixis;
item_26;Gdy mówimy, o tym co działo się w przeszłości, używamy form takich jak <u><i>zjadłem/zjadłam</i></u>, <u><i>bawiłeś/bawiłaś się</i></u>, <u><i>czytaliśmy/czytałyśmy</i></u>, <u><i>rysowaliście/rysowałyście</i></u>... Czy Twoje dziecko tak mówi?;verb;tense
item_27;Gdy mówimy o tym, co będzie się działo w przyszłości, możemy używać słów takich jak <u><i>narysuję</i></u>, <u><i>zjesz</i></u>, <u><i>umyje</i></u>, <u><i>zagramy</i></u>, <u><i>przeczytacie</i></u>... Czy Twoje dziecko tak mówi?;verb;tense
item_28;Gdy mówimy o tym, co będzie się działo w przyszłości, możemy używać wyrażeń takich jak <u><i>będę rysować</i></u>, <u><i>będziesz jeść</i></u>, <u><i>będzie się myć</i></u>, <u><i>będziemy grać</i></u>, <u><i>będziecie czytać</i></u>... Czy Twoje dziecko tak mówi?;verb;tense
item_29;...robi, czy mówi <u><i>chcę / jem / gram / rysuję / piję</i></u> itp.?;verb;person
item_30;...Ty robisz, czy mówi <u><i>chcesz / jesz / grasz / rysujesz / tańczysz</i></u> itp.?;verb;person
item_31;...robi ktoś inny, czy mówi <u><i>chce / je / gra / czyta / idzie / tańczy / płacze</i></u> itp.?;verb;person
item_32;...robicie wspólnie, czy mówi <u><i>jedziemy / idziemy / robimy / gramy / jemy</i></u> itp.?;verb;person
item_33;...Ty robisz z innymi, czy mówi <u><i>chcecie / gracie / czytacie / idziecie</i></u> itp.?;verb;person
item_34;...robią inni, czy mówi <u><i>stoją / biegają / grają / jedzą</i></u> itp.?;verb;person
