text_type;text;item_type;category
cdiNamePrefix;„Od słowa do zdania”;;
cdiNameSufix;Jak mówi Twoje dziecko;;
longText;Odpowiedz na poniższe trzy pytania i kliknij przycisk „Zatwierdź”. Jeśli uważasz, że jest coś jeszcze, co powinniśmy wiedzieć o Twoim dziecku (problemy zdrowotne? kontakt z innymi językami?), możesz użyć pola na uwagi, żeby nam o tym powiedzieć.;start;
warning;WAŻNE: Zakończenie i przesłanie odpowiedzi będzie możliwe dopiero po zatwierdzeniu wszystkich części. W każdej chwili możesz przerwać wypełnianie, co nie spowoduje utraty dotychczasowych odpowiedzi. Żeby wrócić do wypełniania (np. na innym urządzeniu), użyj dokładnie tego samego adresu, który widzisz teraz w przeglądarce. Pamiętaj jednak, że formularz nie może być otwarty na kilku urządzeniach na raz.;start;
help;Pamiętaj, że po zatwierdzeniu odpowiedzi nie będzie już można wrócić na tę stronę.;start;
noGender;Wskaż płeć dziecka.;;
noFiller;Odpowiedz, kim jesteś dla dziecka.;;
fillerLabel;Kim jesteś dla dziecka?;;
fillers;mama,tata,inna odpowiedź (proszę wpisać):;;
menuButton;Sekcja 1;tense;
choiceNames;"Tak, Nie";tense;
menuButton;Sekcja 2;verb;
longText;Słowa na poniższej liście to tylko przykłady. Zaznacz TAK, nawet jeśli Twoje dziecko nie używa wszystkich słów w tej formie lub używa innych słów. Nie interesują nas też błędy, które Twoje dziecko może popełniać. Nie przejmuj się, jeśli Twoje dziecko mówi na przykład „poszłem” zamiast „poszedłem”. Takie błędy są zupełnie naturalne w mowie dzieci i świadczą o jej rozwoju.;verb;part1
choiceNames;"Tak, Nie";verb;part1
instr;Gdy twoje dziecko opowiada o tym, co aktualnie…;verb;part2
choiceNames;"Tak, Nie";verb;part2
menuButton;Sekcja 3;noun_form;
longText;W języku polskim wielu słów używamy w różnych formach, w zależności od tego, co chcemy powiedzieć, i gdzie te słowa są umieszczone w zdaniu. Dzieci zazwyczaj używają słowa najpierw tylko w jednej formie (np. tata), a dopiero potem zaczynają używać innych jego form (np. taty, tacie). W poniższej części kwestionariusza pytamy o różne formy słów, które mogłaś/mogłeś usłyszeć od swojego dziecka w codziennych rozmowach. Nie chodzi o to, co dziecko jest w stanie powtórzyć, np. w rymowankach albo kiedy mu czytasz, ale o formy, których używa samo z siebie.<br><br>Słowa na poniższej liście to tylko przykłady. Zaznacz „lalce, zupce” nawet, jeśli Twoje dziecko nie używa tych słów w tej formie, ale mówi np. „mamie”.;noun_form;
warning;Czy Twoje dziecko używa form takich jak na przykład:;noun_form;
menuButton;Sekcja 4;noun_context;
choiceNames;"Tak, Nie";noun_context;
longText;Słowa pojawiają się w różnych formach w zależności od tego, co chcemy powiedzieć. Odpowiadając na pytania poniżej, zaznacz TAK, nawet jeśli Twoje dziecko nie używa słów, które podajemy jako przykłady, ale używa innych w podobnych sytuacjach. Jeśli zaznaczasz NIE, w polu na uwagi podaj przykład, jak Twoje dziecko mówi w podobnych sytuacjach.;noun_context;
